[11:12:03.559 INF] [T:1] [Game] Logger setup was successful: Game
[11:12:03.698 DBG] [T:1] [Game] [Engine] Discovered '12' commands: [19999, 10007, 10006, 10000, 10008, 10010, 10009, 10001, 10004, 10005, 10003, 10002]
[11:12:03.701 INF] [T:1] [Game] The server Game is initialized.
[11:13:01.965 DBG] [T:44] [Game] [Ack] Remote acknowledged up to: 229
[11:13:01.981 DBG] [T:44] [Game] [Ack] Remote acknowledged up to: 229
[11:13:01.996 DBG] [T:44] [Game] [Ack] Remote acknowledged up to: 229
[11:13:02.012 DBG] [T:44] [Game] [Ack] Remote acknowledged up to: 232
[11:13:02.029 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 232
[11:13:02.044 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 232
[11:13:02.061 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 233
[11:13:02.076 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 235
[11:13:02.093 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 235
[11:13:02.109 DBG] [T:56] [Game] [Ack] Remote acknowledged up to: 235
[11:13:02.125 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 239
[11:13:02.141 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 239
[11:13:02.156 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 239
[11:13:02.173 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 242
[11:13:02.187 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 242
[11:13:02.204 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 242
[11:13:02.220 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 245
[11:13:02.236 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 245
[11:13:02.252 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 245
[11:13:02.268 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 245
[11:13:02.284 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 249
[11:13:02.300 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 249
[11:13:02.316 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 249
[11:13:02.332 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 252
[11:13:02.349 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 252
[11:13:02.365 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 252
[11:13:02.381 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 252
[11:13:02.397 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 256
[11:13:02.413 DBG] [T:57] [Game] [Ack] Remote acknowledged up to: 256
